,Ticker,Timestamp,SDG_Mean_ADJ,SDG_STD_Mean,SDG_News_Volume_Mean
1547834,WMT,2014-06-09,-4.114802947521451,2.8618079743728924,126.29411764705885
1547835,WMT,2014-06-10,-4.32946085964407,2.9127341923080583,73.17647058823529
1548832,WMT,2017-03-03,1.263758390969928,1.5466969868735645,726.4117647058823
1548974,WMT,2017-07-23,-5.1613920610909405,2.7835779018605686,465.7647058823529
1548975,WMT,2017-07-24,-5.367766073413679,2.5872570679785647,763.6470588235294
1548976,WMT,2017-07-25,-3.7623094915588617,3.0315356646364786,396.2352941176471
1548981,WMT,2017-07-30,-3.5201036945903015,3.5148055837367815,76.94117647058823
1549051,WMT,2017-10-08,-3.665494092404576,3.229113423965004,124.47058823529413
1549260,WMT,2018-05-05,-3.964758444680984,3.8814704118542496,126.88235294117644
1549390,WMT,2018-09-12,-3.6123678663848353,2.7927639001646907,313.76470588235287
1549392,WMT,2018-09-14,-3.7063913776843727,4.087405926906477,219.17647058823533
1549715,WMT,2019-08-03,-3.82581961775673,3.1643683041125237,339.0
1549716,WMT,2019-08-04,-5.277413887807054,2.6080110969812087,1188.1764705882354
1549717,WMT,2019-08-05,-5.276358366081742,3.1656497464506588,1085.1176470588234
1549718,WMT,2019-08-06,-4.574577566496681,3.086037077076853,775.5294117647059
1549719,WMT,2019-08-07,-3.9352179557983487,2.4664935305424174,771.2941176470587
1549720,WMT,2019-08-08,-3.8169674217070764,2.7245241089984,505.4117647058823
1549721,WMT,2019-08-09,-3.731650800418581,3.1739369967063777,485.2352941176471
1549722,WMT,2019-08-10,-3.9734449632040567,3.3739657445886184,306.11764705882354
1549744,WMT,2019-09-01,-4.261410044988084,2.6065894554554467,344.4117647058823
1549745,WMT,2019-09-02,-4.015330222789563,2.922975990039074,220.5882352941176
1549793,WMT,2019-10-20,-3.7495346961787215,3.5468212619873505,70.11764705882354
1549862,WMT,2019-12-28,-3.648954369506424,3.2114977501240705,151.2941176470588
665486,GS,2013-07-14,-2.9771780987492864,2.1084504432017432,41.07692307692308
666672,GS,2016-10-12,-3.20444199836608,2.7770418500201424,264.0
666994,GS,2017-08-30,-2.8145191783840784,2.355537440589014,218.0
666995,GS,2017-08-31,-2.9798208704336875,2.6565662891948763,186.29411764705884
667853,GS,2020-01-06,-2.7785835624204624,2.6597382860295538,100.94117647058823
667886,GS,2020-02-08,-2.834311659812585,2.838453105103848,51.05882352941178
667916,GS,2020-03-09,-3.4356523131452223,2.3368997773996667,193.29411764705884
667923,GS,2020-03-16,-2.8064750934457114,1.8294941892495815,106.35294117647058
667924,GS,2020-03-17,-2.9002142057160647,2.1910149029057964,105.41176470588236
667925,GS,2020-03-18,-3.2127116298101632,2.293849683421996,104.70588235294115
667926,GS,2020-03-19,-2.9057434005320784,2.0444856172326555,77.82352941176471
667928,GS,2020-03-21,-2.9360545756933933,1.7605279354053929,89.76470588235294
667929,GS,2020-03-22,-3.01891645317498,1.7869031083486535,102.94117647058823
667930,GS,2020-03-23,-3.1488906217731976,1.9886610805154281,200.4117647058824
667933,GS,2020-03-26,-3.213811563288226,2.2363526554824595,181.4117647058824
667936,GS,2020-03-29,-2.963460531025332,1.8536719568949944,36.470588235294116
667937,GS,2020-03-30,-3.5076364819149,2.2467938492479482,147.94117647058823
667938,GS,2020-03-31,-2.77444327872944,2.176011725170611,175.94117647058826
667939,GS,2020-04-01,-2.9043704078031665,1.921122835715665,190.2352941176471
667942,GS,2020-04-04,-3.0278206912174173,2.0756993490625595,41.70588235294117
667943,GS,2020-04-05,-3.2048680195966677,1.6846806862416053,30.0
667946,GS,2020-04-08,-2.9808782218053835,1.950007100126536,115.70588235294115
667947,GS,2020-04-09,-2.6845493421176108,2.2363209248675937,105.17647058823529
743291,ICE,2014-09-22,-3.0659534346898445,2.4709964863140907,118.52941176470587
743292,ICE,2014-09-23,-3.523184576214621,3.064603334371847,107.88235294117644
743366,ICE,2014-12-06,-3.1092357028594457,1.9931335629182096,57.5625
743367,ICE,2014-12-07,-4.166883513763275,2.2473925089197637,30.52941176470589
743418,ICE,2015-01-27,-3.0063051450176754,1.9631841753899504,131.41176470588235
743840,ICE,2016-03-24,-3.196028287836944,3.223648053731086,99.35294117647058
743841,ICE,2016-03-25,-4.179557129967057,2.813955540010352,92.1875
744788,ICE,2018-10-28,-4.189137416692605,1.6995546390110798,77.0625
744877,ICE,2019-01-25,-4.338591775606939,2.9911390251794474,82.625
744878,ICE,2019-01-26,-5.54141215508575,2.1735322393213248,127.25
744880,ICE,2019-01-28,-3.1176128983098703,3.5186557005481154,67.47058823529412
744881,ICE,2019-01-29,-3.365075047596122,2.866739555942764,84.3529411764706
745133,ICE,2019-10-08,-3.4675000358181065,3.7009317780755002,48.58823529411765
745221,ICE,2020-01-04,-3.674813682208288,1.6384737894264745,47.4
